team,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12,m13,m14,m15,m16,m17,m18,m19,m20
t1,0.041715944,0.509318592,0.077034643,0.834725928,0.506384661,0.85685979,0.433501274,0.015684236,0.617658025,0.608833213,0.878896764,0.798017453,0.392194074,0.34486398,0.156919181,0.524771481,0.108068404,0.654390296,0.432911854,0.046289398
t2,0.342954746,0.778510902,0.15422193,0.657935371,0.000728878,0.868288655,0.193646928,0.455348584,0.342389026,0.162537212,0.636816441,0.343529535,0.709041839,0.869831658,0.91219814,0.570056013,0.415131873,0.039755562,0.052166946,0.986071721
t3,0.021682386,0.395796946,0.949260044,0.068386522,0.367643386,0.387280596,0.119806595,0.260351008,0.185902507,0.214951876,0.936573399,0.386777054,0.074942655,0.732449291,0.540160241,0.696991649,0.581168439,0.803657639,0.010976696,0.793202535
t4,0.133702092,0.139498121,0.464999691,0.004030432,0.299820498,0.181372554,0.880091715,0.692138764,0.456014896,0.848903539,0.390938922,0.17315231,0.515817348,0.869229811,0.869205547,0.439749643,0.834831148,0.64319555,0.105537623,0.897784094
t5,0.964319598,0.903955773,0.921929482,0.434328981,0.128469203,0.158569314,0.051269028,0.168449192,0.914524281,0.249820451,0.322059592,0.394300565,0.237029968,0.764833207,0.028795055,0.463529005,0.762905107,0.407695347,0.434369901,0.849950449
t6,0.133805137,0.145206583,0.154525057,0.973706892,0.518537964,0.406259558,0.09122891,0.127650353,0.813110125,0.127299515,0.440811932,0.090474987,0.429808574,0.6116462,0.352747879,0.987238089,0.321522947,0.512865242,0.490187086,0.066711358
t7,0.041478847,0.427571545,0.627190012,0.966066868,0.247322038,0.337560815,0.896074061,0.578061327,0.260014153,0.508447621,0.184518825,0.117224637,0.130943192,0.391941448,0.20471842,0.429180971,0.948861703,0.73322291,0.724005946,0.632106149
t8,0.183008446,0.059725744,0.940322776,0.189545438,0.036863403,0.386036114,0.446738612,0.300860793,0.066252216,0.88618446,0.496903668,0.794471768,0.338040475,0.278199797,0.07164382,0.784628529,0.215521581,0.476461923,0.558639507,0.886994189
t9,0.852391995,0.734791368,0.248770888,0.004382466,0.784311218,0.171517438,0.555591521,0.798946354,0.464357694,0.067217116,0.643616029,0.962032036,0.225357497,0.784081932,0.447017026,0.180486722,0.201673849,0.549219051,0.90087319,0.544581477
t10,0.583171368,0.730123072,0.966150136,0.139334824,0.634535417,0.848078299,0.647694394,0.481003898,0.900944489,0.602895066,0.263798113,0.626391134,0.303018454,0.739267885,0.584255852,0.357174683,0.119316281,0.457469148,0.129139934,0.444884917
t11,0.755854282,0.586986897,0.655020246,0.813243461,0.230724989,0.659263278,0.010663933,0.804222302,0.298532048,0.044100242,0.910257853,0.841027168,0.428668658,0.44916452,0.364883448,0.321979694,0.23847212,0.095192025,0.734908564,0.603056949
t12,0.654254407,0.175418214,0.270852111,0.962097403,0.342988527,0.032770912,0.094266762,0.292455437,0.754017263,0.997667131,0.263421347,0.313083731,0.124687476,0.551106485,0.439318144,0.248994945,0.538216669,0.039643081,0.035533788,0.357288145
t13,0.548256312,0.65930228,0.059536901,0.93152826,0.6574402,0.735089282,0.460267856,0.50683806,0.230910014,0.986802647,0.828410783,0.669079306,0.316972087,0.640100716,0.441640146,0.661781838,0.243411044,0.226831648,0.263229792,0.068392995
t14,0.351106786,0.518091163,0.218782472,0.468197832,0.113288942,0.962723878,0.542546765,0.062536704,0.265720435,0.628273799,0.156198689,0.975752453,0.427886975,0.286960725,0.514387332,0.464438754,0.515412968,0.218829353,0.550804991,0.198277422
t15,0.299080601,0.677561035,0.130690133,0.187807263,0.617823713,0.059678314,0.807313944,0.575856759,0.347486872,0.947429119,0.465876198,0.748904203,0.759066232,0.23991406,0.729555695,0.872233384,0.027081485,0.819237411,0.938466151,0.517016965
t16,0.182293002,0.261675149,0.306522112,0.926835685,0.419676323,0.004042757,0.580516703,0.616643567,0.125339529,0.114971114,0.216728102,0.391744641,0.171767019,0.981461381,0.104190084,0.386101136,0.357840795,0.41795438,0.670883938,0.734554396
t17,0.882200848,0.958637017,0.755439884,0.367220588,0.759469652,0.264179765,0.265911372,0.461986678,0.075116857,0.732651245,0.219322444,0.467283087,0.698479177,0.498797204,0.365908483,0.875521274,0.628301044,0.277225792,0.638438024,0.950501182
t18,0.399650444,0.146257166,0.720521613,0.970635893,0.871102912,0.964113069,0.851556865,0.933300945,0.772228772,0.700665425,0.488123098,0.3246431,0.462466545,0.486345031,0.255327277,0.555919612,0.745177056,0.4749466,0.97665752,0.950295687
t19,0.067822959,0.320296727,0.262530723,0.574063482,0.639118427,0.976796154,0.940017233,0.948112692,0.163417358,0.401438551,0.380503835,0.15931303,0.174033221,0.514907892,0.580993529,0.782612015,0.873472301,0.322034514,0.193022366,0.615304585
t20,0.356174904,0.181973464,0.591572279,0.265373084,0.885843484,0.589108328,0.043412188,0.993399632,0.624866201,0.533001538,0.217935324,0.078368881,0.729284805,0.987001261,0.515939774,0.616331312,0.595768946,0.765032461,0.249502785,0.630934175
t21,0.710749239,0.817252487,0.176627772,0.631326894,0.373160766,0.566275106,0.189138517,0.129920094,0.855823253,0.525790125,0.827405414,0.209928309,0.635924547,0.16089602,0.183603335,0.142855788,0.895222467,0.320100056,0.713640923,0.685264203
t22,0.056847023,0.733146847,0.274827814,0.627515971,0.172310299,0.15186169,0.934499575,0.377031413,0.567235638,0.442181148,0.443571395,0.230592994,0.070401405,0.551580361,0.75021848,0.33021141,0.236916736,0.330028911,0.563261354,0.243697008
t23,0.373819077,0.381084447,0.878404203,0.808814367,0.673558944,0.789637521,0.107854908,0.026800402,0.706564334,0.365771086,0.171936725,0.985695337,0.466929774,0.207788782,0.825715765,0.312638757,0.615196622,0.95439215,0.419429982,0.87064318
t24,0.425514396,0.280054925,0.105867743,0.560242147,0.073992398,0.789670198,0.98310172,0.951736152,0.843517827,0.190025874,0.500164552,0.852346447,0.16835691,0.749229596,0.186032512,0.232008955,0.184293967,0.446706295,0.469517852,0.139082364
t25,0.062142924,0.943892954,0.169193732,0.168434899,0.559936302,0.324125206,0.194002289,0.261552915,0.484350843,0.759502055,0.857094701,0.4095471,0.218941371,0.364929324,0.00061304,0.658284709,0.16375493,0.169023733,0.199607831,0.507145269
t26,0.864168628,0.611339251,0.654396933,0.319796098,0.660114674,0.820090988,0.347785479,0.529516514,0.732085967,0.475790067,0.397606841,0.77324212,0.07815168,0.855858703,0.373008643,0.187517809,0.4418082,0.266999745,0.900169298,0.004547117
t27,0.609142445,0.953608705,0.809646334,0.631834976,0.660297644,0.454449653,0.073221382,0.673915775,0.191094466,0.979571541,0.22984184,0.766260097,0.844959957,0.135090607,0.055853023,0.813200882,0.751654663,0.804972556,0.654167044,0.284878195
t28,0.685319743,0.034752397,0.76358916,0.932877345,0.27541641,0.151996294,0.628219666,0.253302197,0.116127931,0.761477114,0.051930105,0.548976096,0.726488236,0.558227653,0.774343832,0.013823505,0.408251149,0.34368378,0.407144398,0.939460765
t29,0.447284204,0.011950707,0.444425431,0.935930465,0.967960906,0.81578706,0.002969764,0.727752438,0.310067513,0.945479896,0.95050396,0.154826767,0.933432896,0.802666486,0.782111289,0.025914495,0.701738868,0.848857057,0.766333806,0.142033826
t30,0.407620091,0.798079563,0.607362816,0.453018708,0.732640576,0.534885726,0.564112245,0.469982376,0.417818843,0.761404306,0.469134852,0.857074121,0.88699357,0.357266226,0.778149765,0.861710316,0.286805389,0.435817211,0.207919223,0.858409205
t31,0.292123869,0.476658485,0.621041354,0.163717723,0.289887555,0.438828198,0.405131962,0.721848279,0.522919285,0.545248181,0.678079617,0.549799705,0.182423164,0.557662029,0.863676427,0.564708358,0.996920981,0.112371536,0.747744379,0.24736573
t32,0.515716051,0.347947355,0.407392327,0.433053884,0.172013612,0.401857627,0.149530437,0.748912736,0.078239393,0.015768077,0.399376913,0.689978994,0.396352456,0.703950434,0.580182041,0.411088426,0.741544592,0.919999685,0.872282258,0.810896973
